(?:)
(?:)
&#10;	!\n!
&#x826f;	良
&#33394;	色
&#33402;	艺
&#33406;	艾
&#33410;	节
&#33419;	芋
&#33426;	芒
&#33436;	芜
&#33437;	芝
&#33445;	芥
&#33446;	芦
&#33452;	芬
&#33455;	芯
&#33457;	花
&#33459;	芳
&#33463;	芷
&#33464;	芸
&#33465;	芹
&#33467;	芻
&#33469;	芽
&#33487;	苏
&#33489;	苑
&#33491;	苓
&#33492;	苔
&#33495;	苗
&#33500;	苜
&#33502;	苞
&#33509;	若
&#33510;	苦
&#33521;	英
&#33529;	苹
&#33538;	茂
&#33539;	范
&#33540;	茄
&#33541;	茅
&#33550;	茎
&#33576;	茨
&#33585;	茱
&#33586;	茲
&#33590;	茶
&#33592;	茸
&#33593;	茹
&#33596;	茼
&#33600;	荀
&#33603;	荃
&#33606;	荆
&#33609;	草
&#33610;	荊
&#33616;	荐
&#33618;	荒
&#33624;	荘
&#33633;	荡
&#33635;	荣
&#33647;	药
&#33655;	荷
&#33660;	荼
&#33670;	莆
&#33673;	莉
&#33674;	莊
&#33678;	莎
&#33682;	莒
&#33694;	莞
&#33707;	莫
&#33713;	莱
&#33714;	莲
&#33719;	获
&#33729;	菁
&#33733;	菅
&#33735;	菇
&#33737;	菉
&#33738;	菊
&#33740;	菌
&#33743;	菏
&#33756;	菜
&#33769;	菩
&#33775;	華
&#33777;	菱
&#33778;	菲
&#33795;	萃
&#33802;	萊
&#33804;	萌
&#33805;	萍
&#33806;	萎
&#33821;	萝
&#33829;	营
&#33832;	萨
&#33836;	萬
&#33848;	萸
&#33853;	落
&#33865;	葉
&#33879;	著
&#33883;	葛
&#33889;	葡
&#33891;	董
&#33899;	葫
&#33900;	葬
&#33909;	葵
&#33911;	葷
&#33922;	蒂
&#33931;	蒋
&#33940;	蒔
&#33945;	蒙
&#33960;	蒨
&#33970;	蒲
&#33976;	蒸
&#33980;	蒼
&#33983;	蒿
&#33988;	蓄
&#33993;	蓉
&#33995;	蓋
&#34013;	蓝
&#34028;	蓬
&#34030;	蓮
&#34044;	蓼
&#34047;	蓿
&#34067;	蔓
&#34071;	蔗
&#34074;	蔚
&#34081;	蔡
&#34083;	蔣
&#34085;	蔥
&#34101;	蔵
&#34115;	蕃
&#34121;	蕉
&#34126;	蕎
&#34137;	蕙
&#34154;	蕪
&#34157;	蕭
&#34171;	蕻
&#34180;	薄
&#34183;	薇
&#34193;	薑
&#34196;	薔
&#34201;	薙
&#34203;	薛
&#34217;	薩
&#34220;	薬
&#34223;	薯
&#34224;	薰
&#34253;	藍
&#34255;	藏
&#34269;	藝
&#34276;	藤
&#34277;	藥
&#34297;	藹
&#34299;	藻
&#34311;	蘇
&#34321;	蘑
&#34330;	蘚
&#34349;	蘭
&#34367;	蘿
&#34381;	虍
&#x864E;	虎
&#34383;	虏
&#34384;	虐
&#34388;	虔
&#34389;	處
&#34394;	虚
&#34395;	虛
&#34399;	號
&#34402;	虢
&#34415;	虯
&#34425;	虹
&#34442;	蚊
&#34444;	蚌
&#34453;	蚕
&#34467;	蚣
&#34473;	蚩
&#34503;	蛇
&#34507;	蛋
&#34521;	蛙
&#34532;	蛤
&#34542;	蛮
&#34560;	蜀
&#34588;	蜜
&#34649;	蝙
&#34656;	蝠
&#34662;	蝦
&#34670;	蝮
&#34678;	蝶
&#34680;	蝸
&#34690;	螂
&#34701;	融
&#34733;	螭
&#34739;	螳
&#34746;	螺
&#34756;	蟄
&#34784;	蟠
&#34809;	蟹
&#34836;	蠔
&#34837;	蠕
&#34865;	蠱
&#34870;	蠶
&#34875;	蠻
&#34880;	血
&#34886;	衆
&#34892;	行
&#34893;	衍
&#34899;	術
&#34903;	街
&#34907;	衛
&#34910;	衞
&#34913;	衡
&#34914;	衢
&#34915;	衣
&#34917;	补
&#34920;	表
&#34933;	衵
&#34937;	衹
&#34945;	袁
&#34955;	袋
&#34974;	袞
&#34987;	被
&#34989;	袭
&#34993;	袱
&#35009;	裁
&#35010;	裂
&#35013;	装
&#35023;	裏
&#35028;	裔
&#35029;	裕
&#35036;	補
&#35037;	裝
&#35041;	裡
&#35044;	裤
&#35064;	裸
&#35069;	製
&#35079;	複
&#35090;	褒
&#35096;	褘
&#35140;	襄
&#35186;	襲
&#35199;	西
&#35201;	要
&#35203;	覃
&#35207;	覇
&#35211;	見
&#35215;	規
&#35222;	視
&#35226;	覚
&#35239;	覧
&#35242;	親
&#35251;	観
&#35258;	覺
&#35261;	覽
&#35264;	觀
&#35265;	见
&#35266;	观
&#35268;	规
&#35270;	视
&#35273;	觉
&#35282;	角
&#35292;	觜
&#35299;	解
&#35328;	言
&#35330;	訂
&#35332;	訄
&#35336;	計
&#35338;	訊
&#35342;	討
&#35347;	訓
&#35352;	記
&#35359;	訟
&#35365;	訥
&#35370;	訪
&#35373;	設
&#35377;	許
&#35379;	訳
&#35380;	訴
&#35388;	証
&#35412;	詔
&#35413;	評
&#35421;	詝
&#35422;	詞
&#35424;	詠
&#35425;	詡
&#35427;	詣
&#35430;	試
&#35433;	詩
&#35438;	詮
&#x8a70;	詰
&#35441;	話
&#35449;	詹
&#35468;	誌
&#35469;	認
&#35474;	誒
&#35477;	誕
&#35486;	語
&#35488;	誠
&#35492;	誤
&#35494;	誦
&#35498;	說
&#35500;	説
&#35501;	読
&#35506;	課
&#35516;	誼
&#35519;	調
&#35527;	談
&#35542;	論
&#35553;	諡
&#35558;	諦
&#35565;	諭
&#35569;	諱
&#35576;	諸
&#35582;	諾
&#35584;	謀
&#35606;	謖
&#35609;	謙
&#35610;	謚
&#35611;	講
&#35613;	謝
&#35624;	謨
&#35628;	謬
&#35641;	謹
&#35657;	證
&#35672;	識
&#35673;	譙
&#35674;	譚
&#35676;	譜
&#35686;	警
&#35692;	譬
&#35695;	譯
&#35696;	議
&#35698;	譲
&#35703;	護
&#35712;	讀
&#35715;	讃
&#35722;	變
&#35728;	讐
&#35744;	讠
&#35745;	计
&#35752;	讨
&#35753;	让
&#35758;	议
&#35759;	讯
&#35760;	记
&#35767;	讷
&#35768;	许
&#35770;	论
&#35774;	设
&#35775;	访
&#35777;	证
&#35780;	评
&#35782;	识
&#35789;	词
&#35791;	诏
&#35799;	诗
&#35805;	话
&#35810;	询
&#35821;	语
&#35823;	误
&#35828;	说
&#35832;	诸
&#35834;	诺
&#35835;	读
&#35841;	谁
&#35843;	调
&#35851;	谋
&#35859;	谓
&#35868;	谜
&#35873;	谡
&#35874;	谢
&#35885;	谭
&#35895;	谷
&#35910;	豆
&#35913;	豉
&#35914;	豊
&#35918;	豎
&#35920;	豐
&#35930;	豚
&#35937;	象
&#35938;	豢
&#35946;	豪
&#35947;	豫
&#35948;	豬
&#35961;	豹
&#35973;	貅
&#35980;	貌
&#35987;	貓
&#35988;	貔
&#35992;	貘
&#35997;	貝
&#35998;	貞
&#36000;	負
&#x8CA1;	財
&#36002;	貢
&#36007;	貧
&#36008;	貨
&#36009;	販
&#36011;	貫
&#36012;	責
&#36020;	貴
&#36023;	買
&#36027;	費
&#36031;	貿
&#36032;	賀
&#36033;	賁
&#x8CC7;	資
&#36040;	賈
&#36051;	賓
&#36060;	賜
&#36062;	賞
&#36066;	賢
&#36067;	賣
&#36070;	賦
&#36074;	質
&#36084;	賴
&#36093;	賽
&#36094;	賾
&#36101;	贅
&#36106;	贊
&#36116;	贔
&#36123;	贛
&#36125;	贝
&#36126;	贞
&#36129;	贡
&#36130;	财
&#36132;	贤
&#36135;	货
&#36136;	质
&#36143;	贯
&#36149;	贵
&#36152;	贸
&#36153;	费
&#36154;	贺
&#36155;	贻
&#36164;	资
&#36171;	赋
&#36187;	赛
&#36190;	赞
&#36194;	赢
&#36195;	赣
&#36196;	赤
&#36199;	赧
&#36203;	赫
&#36208;	走
&#36211;	赳
&#36213;	赵
&#36215;	起
&#36229;	超
&#36234;	越
&#36249;	趙
&#36255;	趟
&#36271;	趯
&#36275;	足
&#36286;	趾
&#36291;	跃
&#36299;	跋
&#36317;	距
&#36319;	跟
&#36324;	跤
&#36328;	跨
&#36330;	跪
&#36335;	路
&#36341;	践
&#36362;	踊
&#36367;	踏
&#36368;	踐
&#36420;	蹄
&#36423;	蹇
&#36454;	蹦
&#36493;	躍
&#36523;	身
&#36554;	車
&#36556;	軌
&#36557;	軍
&#36571;	軛
&#36575;	軟
&#36578;	転
&#36587;	軫
&#36600;	軸
&#36603;	軻
&#36605;	軽
&#36606;	軾
&#36611;	較
&#36617;	載
&#36628;	輔
&#36629;	輕
&#36635;	輛
&#36637;	輝
&#36649;	輩
&#36650;	輪
&#36655;	輯
&#36659;	輳
&#36664;	輸
&#36667;	輻
&#36671;	輿
&#36676;	轄
&#36681;	轉
&#36685;	轍
&#36703;	轟
&#36710;	车
&#36712;	轨
&#36716;	转
&#36718;	轮
&#36719;	软
&#36722;	轲
&#36731;	轻
&#36732;	轼
&#36733;	载
&#36741;	辅
&#36742;	辆
&#36753;	辑
&#36755;	输
&#36758;	辖
&#36761;	辙
&#36763;	辛
&#36766;	辞
&#36767;	辟
&#36771;	辣
&#36774;	辦
&#36781;	辭
&#36783;	辯
&#36784;	辰
&#36786;	農
&#36789;	辵
&#36790;	辶
&#36793;	边
&#36794;	辺
&#36796;	込
&#36797;	辽
&#36798;	达
&#36801;	迁
&#36805;	迅
&#36807;	过
&#36808;	迈
&#36814;	迎
&#36816;	运
&#36817;	近
&#36820;	返
&#36824;	还
&#36825;	这
&#36827;	进
&#36828;	远
&#36830;	连
&#36838;	迦
&#36842;	迪
&#36843;	迫
&#36848;	述
&#36855;	迷
&#36857;	迹
&#36861;	追
&#36864;	退
&#36865;	送
&#36866;	适
&#36870;	逆
&#36873;	选
&#36874;	逊
&#36877;	逍
&#36879;	透
&#36884;	途
&#36889;	這
&#36890;	通
&#36893;	逝
&#36895;	速
&#x9020;	造
&#36899;	連
&#36910;	逮
&#36913;	週
&#36914;	進
&#36920;	逸
&#36930;	遂
&#36935;	遇
&#36938;	遊
&#36939;	運
&#36941;	遍
&#36942;	過
&#x9053;	道
&#36948;	達
&#36956;	遜
&#36960;	遠
&#36963;	遣
&#36965;	遥
&#36969;	適
&#36973;	遭
&#36975;	遯
&#36981;	遵
&#36983;	遷
&#36984;	選
&#36986;	遺
&#36988;	遼
&#36991;	避
&#36996;	還
&#36999;	邇
&#37002;	邊
&#37007;	邏
&#37009;	邑
&#37011;	邓
&#37013;	邕
&#37015;	邗
&#37026;	邢
&#37027;	那
&#37030;	邦
&#37034;	邪
&#37038;	邮
&#37039;	邯
&#37041;	邱
&#37043;	邳
&#37045;	邵
&#37049;	邹
&#37057;	郁
&#37059;	郃
&#37066;	郊
&#37070;	郎
&#37073;	郑
&#37085;	郝
&#37086;	郞
&#37089;	郡
&#37090;	郢
&#37096;	部
&#37101;	郭
&#37103;	郯
&#37108;	郴
&#37109;	郵
&#37111;	郷
&#37112;	郸
&#37117;	都
&#37122;	鄂
&#37129;	鄉
&#37138;	鄒
&#37159;	鄧
&#37165;	鄭
&#37168;	鄰
&#37169;	鄱
&#37170;	鄲
&#37178;	鄺
&#37193;	酉
&#37196;	酌
&#37197;	配
&#37202;	酒
&#37210;	酚
&#37218;	酢
&#37231;	酯
&#37237;	酵
&#37238;	酶
&#37240;	酸
&#37251;	醃
&#37255;	醇
&#37257;	醉
&#37259;	醋
&#37266;	醒
&#37290;	醪
&#37291;	醫
&#37312;	釀
&#37319;	采
&#37320;	釈
&#37322;	释
&#37323;	釋
&#37324;	里
&#37325;	重
&#37326;	野
&#37327;	量
&#37328;	釐
&#37329;	金
&#37335;	釗
&#37336;	釘
&#37340;	釜
&#37341;	針
&#37347;	釣
&#37365;	釵
&#37389;	鈍
&#37390;	鈎
&#37392;	鈐
&#37428;	鈴
&#37439;	鈿
&#37444;	鉄
&#37449;	鉉
&#37467;	鉛
&#37476;	鉤
&#37489;	鉱
&#37492;	鉴
&#x9280;	銀
&#37507;	銃
&#37509;	銅
&#37521;	銑
&#37528;	銘
&#37549;	銭
&#37586;	鋒
&#37628;	鋼
&#37636;	錄
&#37638;	錆
&#37648;	錐
&#37653;	錕
&#37658;	錚
&#37659;	錛
&#37666;	錢
&#37670;	錦
&#37675;	錫
&#37676;	錬
&#37679;	錯
&#37682;	録
&#37706;	鍊
&#37707;	鍋
&#37716;	鍔
&#37758;	鍾
&#37772;	鎌
&#37780;	鎔
&#37782;	鎖
&#37786;	鎚
&#37799;	鎧
&#37805;	鎭
&#37806;	鎮
&#37827;	鏃
&#37857;	鏡
&#37912;	鐘
&#37941;	鐵
&#37969;	鑑
&#37970;	鑒
&#38002;	鑲
&#38012;	鑼
&#38021;	钅
&#38047;	钟
&#38048;	钠
&#38050;	钢
&#38054;	钦
&#38065;	钱
&#38074;	钺
&#38078;	钾
&#38081;	铁
&#38108;	铜
&#38134;	银
&#38138;	铺
&#38142;	链
&#38145;	锁
&#38155;	锋
&#38169;	错
&#38177;	锡
&#38182;	锦
&#38190;	键
&#38197;	锵
&#38202;	锺
&#38215;	镇
&#38224;	镐
&#38229;	镕
&#38236;	镜
&#x9577;	長
&#38271;	长
&#38272;	門
&#38281;	閉
&#38283;	開
&#38286;	閎
&#38287;	閏
&#38289;	閑
&#38291;	間
&#38292;	閔
&#38306;	関
&#38307;	閣
&#38308;	閤
&#38313;	閩
&#38316;	閬
&#38331;	閻
&#38349;	闍
&#38358;	闖
&#38360;	闘
&#38364;	關
&#38376;	门
&#38378;	闪
&#38382;	问
&#38386;	闲
&#38388;	间
&#38395;	闻
&#38397;	闽
&#38401;	阁
&#38428;	阜
&#38431;	队
&#38442;	阪
&#38446;	阮
&#38450;	防
&#38451;	阳
&#38453;	阵
&#38454;	阶
&#38459;	阻
&#38463;	阿
&#38464;	陀
&#38468;	附
&#x9645;	际
&#38470;	陆
&#38471;	陇
&#38472;	陈
&#38477;	降
&#38480;	限
&#38485;	陕
&#38492;	陜
&#38493;	陝
&#38495;	陟
&#38498;	院
&#38500;	除
&#38505;	险
&#38512;	陰
&#38515;	陳
&#38517;	陵
&#38518;	陶
&#38519;	陷
&#38520;	陸
&#38522;	険
&#38525;	陽
&#38534;	隆
&#38538;	隊
&#38539;	隋
&#38541;	隍
&#38542;	階
&#38543;	随
&#38548;	隔
&#38555;	際
&#38556;	障
&#38560;	隠
&#38563;	隣
&#38568;	隨
&#38570;	險
&#38580;	隴
&#38582;	隶
&#38583;	隷
&#38584;	隸
&#38585;	隹
&#38588;	隼
&#38590;	难
&#38592;	雀
&#38593;	雁
&#38596;	雄
&#38597;	雅
&#38598;	集
&#38599;	雇
&#38601;	雉
&#38604;	雌
&#38605;	雍
&#38609;	雑
&#38610;	雒
&#38617;	雙
&#38620;	雜
&#38622;	雞
&#38626;	離
&#38627;	難
&#38632;	雨
&#38633;	雩
&#38634;	雪
&#38639;	雯
&#38642;	雲
&#38646;	零
&#38647;	雷
&#38651;	電
&#38654;	雾
&#38656;	需
&#38660;	霄
&#38663;	震
&#38665;	霉
&#38666;	霊
&#38669;	霍
&#38673;	霑
&#38678;	霖
&#38684;	霜
&#38686;	霞
&#38706;	露
&#38712;	霸
&#38724;	靄
&#38728;	靈
&#38737;	靑
&#38738;	青
&#x9756;	靖
&#38745;	静
&#38746;	靚
&#38748;	靜
&#38750;	非
&#38753;	靡
&#38754;	面
&#38761;	革
&#38772;	靴
&#38778;	靺
&#38780;	靼
&#38789;	鞅
&#38797;	鞍
&#38799;	鞏
&#38808;	鞘
&#38824;	鞨
&#38851;	韃
&#38859;	韋
&#38867;	韓
&#38889;	韩
&#38892;	韬
&#38899;	音
&#38902;	韶
&#38907;	韻
&#38911;	響
&#38913;	頁
&#38914;	頂
&#38915;	頃
&#38917;	項
&#38918;	順
&#38920;	須
&#38922;	頊
&#38924;	頌
&#38931;	頓
&#38936;	領
&#38945;	頡
&#38948;	頤
&#38957;	頭
&#38971;	頻
&#38972;	頼
&#38988;	題
&#38990;	顎
&#38991;	顏
&#38994;	顒
&#38995;	顓
&#38996;	顔
&#38997;	顕
&#38999;	顗
&#39006;	類
&#39015;	顧
&#39023;	顯
&#39029;	页
&#39030;	顶
&#39031;	顷
&#39033;	项
&#39034;	顺
&#39038;	顾
&#39039;	顿
&#39044;	预
&#39047;	颇
&#39049;	颉
&#39057;	频
&#39064;	题
&#39068;	颜
&#39080;	風
&#39118;	风
&#39131;	飛
&#39134;	飞
&#39135;	食
&#39151;	飯
&#39154;	飲
&#39166;	飾
&#39171;	餃
&#39173;	餅
&#39178;	養
&#39184;	餐
&#39187;	餓
&#39192;	餘
&#39208;	館
&#39214;	餮
&#39250;	饒
&#39253;	饕
&#39267;	饣
&#39269;	饥
&#39274;	饪
&#39277;	饭
&#39286;	饶
&#39292;	饼
&#39295;	饿
&#39296;	馀
&#39302;	馆
&#39318;	首
&#39319;	馗
&#39321;	香
&#39336;	馨
&#39340;	馬
&#39342;	馮
&#39364;	駄
&#39365;	駅
&#39378;	駒
&#39385;	駙
&#39409;	駱
&#39423;	駿
&#39426;	騂
&#39438;	騎
&#39439;	騏
&#39442;	騒
&#39443;	験
&#39464;	騨
&#39470;	騮
&#39479;	騷
&#39491;	驃
&#39509;	驕
&#39514;	驚
&#39515;	驛
&#39522;	驢
&#39530;	驪
&#39532;	马
&#39537;	驱
&#39539;	驳
&#39547;	驻
&#39556;	骄
&#39564;	验
&#39567;	骏
&#39592;	骨
&#39620;	髄
&#39636;	體
&#39640;	高
&#39654;	髦
&#39675;	髻
&#39704;	鬘
&#39717;	鬥
&#39729;	鬱
&#39740;	鬼
&#39745;	魁
&#39746;	魂
&#39748;	魄
&#39749;	魅
&#39752;	魈
&#39759;	魏
&#39764;	魔
&#39770;	魚
&#39791;	魯
&#39825;	鮑
&#39850;	鮪
&#39853;	鮭
&#39854;	鮮
&#39881;	鯉
&#39889;	鯑
&#39899;	鯛
&#39908;	鯤
&#39914;	鯪
&#x9BF1;	鯱
&#39933;	鯽
&#40000;	鱀
&#40023;	鱗
&#40024;	鱘
&#40060;	鱼
&#40065;	鲁
&#40077;	鲍
&#40092;	鲜
&#40095;	鲟
&#40098;	鲢
&#40100;	鲤
&#40104;	鲨
&#40124;	鲼
&#40141;	鳍
&#40151;	鳗
&#40165;	鳥
&#40167;	鳧
&#40169;	鳩
&#40179;	鳳
&#40180;	鳴
&#40201;	鴉
&#40232;	鴨
&#40251;	鴻
&#40255;	鴿
&#40266;	鵊
&#40285;	鵝
&#40300;	鵬
&#40306;	鵲
&#40335;	鶏
&#40346;	鶚
&#40372;	鶴
&#40380;	鶼
&#40384;	鷀
&#40386;	鷂
&#40388;	鷄
&#40407;	鷗
&#40427;	鷫
&#40441;	鷹
&#40469;	鸕
&#40478;	鸞
&#40479;	鸟
&#40481;	鸡
&#40486;	鸦
&#40493;	鸭
&#40494;	鸮
&#40509;	鸽
&#40515;	鹃
&#40517;	鹅
&#40520;	鹈
&#40522;	鹊
&#40548;	鹤
&#40557;	鹭
&#40560;	鹰
&#40569;	鹹
&#40573;	鹽
&#40575;	鹿
&#40594;	麒
&#40595;	麓
&#40599;	麗
&#40607;	麟
&#40613;	麥
&#40614;	麦
&#40628;	麴
&#40629;	麵
&#40635;	麻
&#40639;	麿
&#40643;	黃
&#40644;	黄
&#40654;	黎
&#40656;	黐
&#40657;	黑
&#40658;	黒
&#40660;	黔
&#40664;	默
&#40667;	黛
&#40670;	點
&#40680;	黨
&#40718;	鼎
&#40723;	鼓
&#40736;	鼠
&#40763;	鼻
&#40778;	齊
&#40779;	齋
&#40784;	齐
&#40801;	齡
&#40802;	齢
&#40831;	齿
&#40836;	龄
&#40840;	龈
&#40845;	龍
&#40848;	龐
&#40857;	龙
&#40860;	龜
&#42456;	ꗘ
&#44032;	가
&#44036;	간
&#44053;	강
&#44060;	개
&#44144;	거
&#44148;	건
&#44160;	검
&#44201;	격
&#44221;	경
&#44228;	계
&#44256;	고
&#44257;	곡
&#44273;	곱
&#44277;	공
&#44284;	과
&#44288;	관
&#44305;	광
&#44340;	괴
&#44368;	교
&#44396;	구
&#44397;	국
&#44400;	군
&#44404;	굴
&#44417;	궁
&#44480;	귀
&#44508;	규
&#44536;	그
&#44544;	글
&#44552;	금
&#44553;	급
&#44592;	기
&#44600;	길
&#44608;	김
&#44984;	꾸
&#44985;	꾹
&#45208;	나
&#45209;	낙
&#45212;	난
&#45224;	남
&#45236;	내
&#45307;	냻
&#45320;	너
&#45348;	네
&#45376;	녀
&#45380;	년
&#45397;	녕
&#45432;	노
&#45436;	논
&#45440;	놀
&#45572;	누
&#45573;	눅
&#45684;	뉴
&#45716;	는
&#45768;	니
&#45796;	다
&#45800;	단
&#45804;	달
&#45812;	담
&#45817;	당
&#45824;	대
&#45909;	덕
&#45944;	델
&#46020;	도
&#46028;	돌
&#46039;	돗
&#46041;	동
&#46108;	된
&#46160;	두
&#46300;	드
&#46301;	득
&#46321;	등
&#46356;	디
&#46377;	딩
&#46972;	라
&#46973;	락
&#46988;	람
&#46993;	랑
&#47000;	래
&#47016;	램
&#47049;	량
&#47084;	러
&#47085;	럭
&#47088;	런
&#47112;	레
&#47140;	려
&#47141;	력
&#47144;	련
&#47161;	령
&#47168;	례
&#47196;	로
&#47197;	록
&#47200;	론
&#47329;	룡
&#47336;	루
&#47448;	류
&#47476;	르
&#47484;	를
&#47497;	릉
&#47532;	리
&#47533;	릭
&#47536;	린
&#47548;	림
&#47549;	립
&#47553;	링
&#47560;	마
&#47561;	막
&#47564;	만
&#47568;	말
&#47581;	망
&#47588;	매
&#47589;	맥
&#47609;	맹
&#47676;	먼
&#47680;	멀
&#47700;	메
&#47704;	멘
&#47732;	면
&#47749;	명
&#47784;	모
&#47785;	목
&#47788;	몬
&#47792;	몰
&#47805;	몽
&#47896;	묘
&#47924;	무
&#47928;	문
&#47932;	물
&#48120;	미
&#48124;	민
&#48128;	밀
&#48141;	밍
&#48148;	바
&#48149;	박
&#48152;	반
&#48156;	발
&#48169;	방
&#48177;	백
&#48197;	뱅
&#48260;	버
&#48276;	범
&#48277;	법
&#48288;	베
&#48324;	별
&#48348;	볜
&#48372;	보
&#48373;	복
&#48376;	본
&#48380;	볼
&#48393;	봉
&#48512;	부
&#48513;	북
&#48516;	분
&#48520;	불
&#48652;	브
&#48708;	비
&#48709;	빅
&#48712;	빈
&#48736;	빠
&#49324;	사
&#49325;	삭
&#49328;	산
&#49340;	삼
&#49345;	상
&#49352;	새
&#49380;	샤
&#49436;	서
&#49437;	석
&#49440;	선
&#49453;	섭
&#49457;	성
&#49464;	세
&#49480;	셈
&#49496;	션
&#49548;	소
&#49549;	속
&#49552;	손
&#49569;	송
&#49688;	수
&#49692;	순
&#49696;	술
&#49800;	슈
&#49828;	스
&#49832;	슨
&#49845;	습
&#49849;	승
&#49884;	시
&#49885;	식
&#49888;	신
&#49892;	실
&#49905;	싱
&#49933;	쌍
&#50297;	쑹
&#50416;	쓰
&#50472;	씨
&#50500;	아
&#50501;	악
&#50504;	안
&#50516;	암
&#50521;	앙
&#50528;	애
&#50556;	야
&#50557;	약
&#50577;	양
&#50612;	어
&#50616;	언
&#50628;	엄
&#50629;	업
&#50640;	에
&#50644;	엔
&#50668;	여
&#50669;	역
&#50672;	연
&#50676;	열
&#50689;	영
&#50696;	예
&#50700;	옌
&#50724;	오
&#50725;	옥
&#50732;	올
&#50734;	옮
&#50745;	옹
&#50752;	와
&#50756;	완
&#50773;	왕
&#50808;	외
&#50836;	요
&#50857;	용
&#50864;	우
&#50865;	욱
&#50868;	운
&#50872;	울
&#50885;	웅
&#50892;	워
&#50896;	원
&#50900;	월
&#50948;	위
&#50976;	유
&#50977;	육
&#50980;	윤
&#50984;	율
&#51004;	으
&#51008;	은
&#51012;	을
&#51020;	음
&#51021;	읍
&#51025;	응
&#51032;	의
&#51060;	이
&#51061;	익
&#51064;	인
&#51068;	일
&#51076;	임
&#51088;	자
&#51089;	작
&#51109;	장
&#51116;	재
&#51200;	저
&#51201;	적
&#51204;	전
&#51208;	절
&#51221;	정
&#51228;	제
&#51229;	젝
&#51312;	조
&#51313;	족
&#51316;	존
&#51333;	종
&#51340;	좌
&#51452;	주
&#51456;	준
&#51473;	중
&#51592;	즈
&#51613;	증
&#51648;	지
&#51649;	직
&#51652;	진
&#51656;	질
&#51665;	집
&#51667;	짓
&#52265;	착
&#52268;	찬
&#52272;	찰
&#52285;	창
&#52292;	채
&#52293;	책
&#52377;	척
&#52380;	천
&#52384;	철
&#52397;	청
&#52404;	체
&#52488;	초
&#52492;	촌
&#52572;	최
&#52629;	축
&#52632;	춘
&#52636;	출
&#52649;	충
&#52768;	츠
&#52824;	치
&#52825;	칙
&#52828;	친
&#52832;	칠
&#52852;	카
&#52964;	커
&#52968;	컨
&#52980;	컴
&#52992;	케
&#53000;	켈
&#53076;	코
&#53095;	콧
&#53097;	콩
&#53216;	쿠
&#53237;	쿵
&#53301;	퀵
&#53328;	큐
&#53356;	크
&#53364;	클
&#53412;	키
&#53440;	타
&#53441;	탁
&#53448;	탈
&#53456;	탐
&#53461;	탕
&#53468;	태
&#53469;	택
&#53552;	터
&#53556;	턴
&#53560;	털
&#53580;	테
&#53584;	텐
&#53664;	토
&#53672;	톨
&#53685;	통
&#53748;	퇴
&#53804;	투
&#53944;	트
&#53945;	특
&#53948;	튼
&#54000;	티
&#54008;	틸
&#54021;	팅
&#54028;	파
&#54032;	판
&#54056;	패
&#54075;	팻
&#54140;	퍼
&#54168;	페
&#54200;	편
&#54217;	평
&#54224;	폐
&#54252;	포
&#54256;	폰
&#54364;	표
&#54392;	푸
&#54504;	퓨
&#54532;	프
&#54536;	픈
&#54588;	피
&#54592;	핀
&#54616;	하
&#54617;	학
&#54620;	한
&#54624;	할
&#54632;	함
&#54633;	합
&#54635;	핫
&#54637;	항
&#54644;	해
&#54648;	핸
&#54665;	행
&#54728;	허
&#54732;	헌
&#54744;	험
&#54788;	현
&#54805;	형
&#54812;	혜
&#54840;	호
&#54856;	홈
&#54861;	홍
&#54868;	화
&#54869;	확
&#54872;	환
&#54889;	황
&#54924;	회
&#54945;	횡
&#54952;	효
&#54980;	후
&#54984;	훈
&#55064;	휘
&#55124;	흔
&#55137;	흡
&#55141;	흥
&#55148;	희
&#55152;	흰
&#55176;	히
&#58145;	
&#59393;	
&#61472;	
&#61475;	
&#62889;	
&#63186;	
&#63544;	
&#63754;	金
&#63759;	羅
&#63785;	朗
&#63839;	寧
&#63866;	梁
&#63897;	蓮
&#63923;	靈
&#63925;	例
&#63927;	醴
&#63969;	李
&#63988;	林
&#63990;	臨
&#64028;	靖
&#64256;	ﬀ
&#64257;	ﬁ
&#64258;	ﬂ
&#64259;	ﬃ
&#64260;	ﬄ
&#64297;	﬩
&#64298;	שׁ
&#64299;	שׂ
&#64305;	בּ
&#64306;	גּ
&#64307;	דּ
&#64308;	הּ
&#64309;	וּ
&#64314;	ךּ
&#64315;	כּ
&#64323;	ףּ
&#64324;	פּ
&#64330;	תּ
&#xFDF2;	ﷲ
&#xfe3d;	︽
&#xfe3e;	︾
&#xfe3f;	︿
&#xfe40;	﹀
&#xfe41;	﹁
&#xfe42;	﹂
&#xfe43;	﹃
&#xfe44;	﹄
&#65104;	﹐
&#xFE81;	ﺁ
&#xFE82;	ﺂ
&#xFE8D;	ﺍ
&#xFE8E;	ﺎ
&#xFE8F;	ﺏ
&#xFE90;	ﺐ
&#xFE91;	ﺑ
&#xFE92;	ﺒ
&#xFE93;	ﺓ
&#xFE94;	ﺔ
&#xFE95;	ﺕ
&#xFE96;	ﺖ
&#xFE97;	ﺗ
&#xFE98;	ﺘ
&#xFE99;	ﺙ
&#xFE9A;	ﺚ
&#xFE9B;	ﺛ
&#xFE9C;	ﺜ
&#xFE9D;	ﺝ
&#xFE9E;	ﺞ
&#xFE9F;	ﺟ
